"V2","V3","V5","V6"
"I","","Aardewerk, diamant, glas, kalk, steenen, enz.",""
"","a","Aardewerk en porcelein",""
"","","Fabricage van aardewerk (incl. porcelein, terracotta, kachelbakkers, potterbakkers, enz.)","A"
"","","Fabricage van aardewerk (incl. porcelein, terracotta, kachelbakkers, potterbakkers, enz.)","B"
"","","Fabricage van aardewerk (incl. porcelein, terracotta, kachelbakkers, potterbakkers, enz.)","C"
"","","Fabricage van aardewerk (incl. porcelein, terracotta, kachelbakkers, potterbakkers, enz.)","D"
"","","Fabricage van tabakspijpen","A"
"","b","Diamant, edelsteen en fijne steensoorten",""
"","","Diamantklovers","A"
"","","Diamantklovers","D"
"","","Diamantslijpers (incl. verstellers) ","A"
"","","Diamantslijpers (incl. verstellers) ","B"
"","","Diamantslijpers (incl. verstellers) ","C"
"","","Diamantslijpers (incl. verstellers) ","D"
"","","Diamantsnijders","D"
"","","Fabricage van parketvloeren","D"
"","","Fabricage van marmerwaren","A"
"","","Fabricage van marmerwaren","D"
"","","Marmerslijpers","D"
"","c","Glas, kristal, spiegels",""
"","","Fabricage van glas (incl. kristal en spiegelglas)","A"
"","","Fabricage van glas (incl. kristal en spiegelglas)","B"
"","","Fabricage van glas (incl. kristal en spiegelglas)","D"
"","","Fabricage van spiegels","A"
"","","Fabricage van spiegels","B"
"","","Fabricage van spiegels","C"
"","","Fabricage van spiegels","D"
"","","Glasblazers","A"
"","","Glasblazers","C"
"","","Glasblazers","D"
"","d","Cement, gips, kalk, kiezel, klei, tras enz.",""
"","","Fabricage van cement","A"
"","","Fabricage van cement","D"
"","","Fabricage van gips","A"
"","","Fabricage van gips","D"
"","","Fabricage van gipswaren","D"
"","","Fabricage van kalk","C"
"","","Fabricage van kalk","D"
"","","Fabricage van krijt (incl. teekenkrijt)","D"
"","","Fabricage van tras.","A"
"","","Fabricage van tras.","D"
"","","Vormstekers","D"
"","e","Steenen, dakpannen, draineerbuizen, enz",""
"","","Fabricage van dakpannen (pannenbakkers)","A"
"I","","",""
"","","Fabricage van steen (molensteen, steenbakkers, tegelbakkers)","A"
"","","Fabricage van steen (molensteen, steenbakkers, tegelbakkers)","C"
"","","Fabricage van steen (molensteen, steenbakkers, tegelbakkers)","D"
"","","Molensteenscherpers","D"
"","","Steenhouwers","A"
"","","Steenhouwers","B"
"","","Steenhouwers","C"
"","","Steenhouwers","D"
"II","","Boek- en steendrukkerij, hout-, koper-, staalgravure, photographie, enz.",""
"","a","Boekdrukkerij, lettervaardiging; enz. (incl. Landsdrukkerij)",""
"","","Boekbinders","A"
"","","Boekbinders","B"
"","","Boekbinders","C"
"","","Boekbinders","D"
"","","Boekdrukkers","A"
"","","Boekdrukkers","B"
"","","Boekdrukkers","C"
"","","Boekdrukkers","D"
"","","Lettergieters","A"
"","","Lettergieters","D"
"","","Letterzetters","C"
"","","Letterzetters","D"
"","b","Steendrukkerij, hout-, koper-, staalgravure, enz.",""
"","","Linieerders","A"
"","","Linieerders","D"
"","","Plaatdrukkers","A"
"","","Plaatdrukkers","D"
"","","Platenkleurders","D"
"","","Steendrukkers","A"
"","","Steendrukkers","C"
"","","Steendrukkers","D"
"","c","Photographie, enz.",""
"","","Photografen","A"
"","","Photografen","B"
"","","Photografen","D"
"","","Retoucheurs","D"
"III","","Bouwbedrijven, (incl. reiniging van gebouwen en aanleggen, onderhouden en reinigen van wegen en straten; ook gemeentelijke dienst)",""
"","a","Gas- en waterleiding, enz",""
"","","Aanleggers gas- en waterleiding","A"
"","","Aanleggers gas- en waterleiding","C"
"","","Aanleggers gas- en waterleiding","D"
"","","Kraansluiters (waterleiding)","D"
"","","Waterleidingexploitatie","A"
"","","Waterleidingexploitatie","B"
"","","Waterleidingexploitatie","C"
"","","Waterleidingexploitatie","D"
"","b","Bouw van huizen, molens, enz.",""
"","","Architecten","A"
"","","Dekkers (lei-, pannen, stroo- en riet-)","A"
"","","Dekkers (lei-, pannen, stroo- en riet-)","D"
"","","Fundeeringmakers","D"
"","","Glazenmakers","A"
"","","Glazenmakers","C"
"","","Glazenmakers","D"
"","","Loodgieters","A"
"","","Loodgieters","C"
"","","Loodgieters","D"
"","","Metselaars","A"
"","","Metselaars","B"
"","","Metselaars","C"
"","","Metselaars","D"
"","","Molenmakers","A"
"","","Molenmakers","D"
"","","Opperlieden","D"
"","","Steenkloppers (bikkers)","D"
"","","Timmerlieden","A"
"","","Timmerlieden","B"
"","","Timmerlieden","C"
"","","Timmerlieden","D"
"","c","Afwerken van huizen, enz.",""
"","","Behangers","A"
"","","Behangers","B"
"","","Behangers","C"
"","","Behangers","D"
"","","Decoratieschilders","A"
"","","Decoratieschilders","D"
"","","Huisschilders","A"
"","","Huisschilders","B"
"","","Huisschilders","C"
"","","Huisschilders","D"
"","","Stukadoors","A"
"","","Stukadoors","B"
"","","Stukadoors","D"
"","d","Openbare werken",""
"","","Aannemers","A"
"","","Aardwerkers","D"
"","","Dijkwerkers","D"
"","","Heibazen","C"
"","","Opzichters","C"
"","","Polderwerkers","C"
"","","Polderwerkers","D"
"","","Steenzetters","D"
"","","Steigermakers","D"
"","","Straatmakers","D"
"III","e","Reiniging van bouwwerken, wegen en straten. ",""
"","","Aschkarlieden","D"
"","","Baggerlieden","C"
"","","Baggerlieden","D"
"","","Glazenwasschers","A"
"","","Glazenwasschers","C"
"","","Glazenwasschers","D"
